Work,Range,Notes
Replace standard outlet (existing box),$115–$185,"Per outlet. Tamper-resistant, spec-grade. 5+ at the same visit: $95 each. 10+: $85 each."
Replace GFCI outlet,$145–$215,Per outlet. Includes proper labeling of downstream protected outlets.
"Add new outlet, existing circuit, accessible",$175–$295,"Open basement, attic, or unfinished wall above. Cut, fish, patch hole."
"Add new outlet, finished wall, fish from below",$275–$475,Drywall stays mostly closed; we cut one or two access holes.
"Add new outlet, plaster & lath wall",$325–$575,"Older homes. More time, more care, occasional surgery."
Convert 2-prong to 3-prong (with ground),$185–$285,"Per outlet. Requires a real ground path, not a cheater plug."
Convert 2-prong to GFCI (no ground available),$165–$235,Per outlet. Code-acceptable on older homes where running a ground is impractical.
USB / USB-C combination outlet,$145–$215,Add-on to any outlet replacement.
"Dedicated 20A outlet (kitchen, office, fridge)",$285–$525,"New circuit, dedicated breaker, single outlet. See ""new circuits"" below."
240V outlet for dryer / range (existing circuit),$165–$275,Receptacle swap on a circuit that already exists.
Exterior weatherproof outlet (in-use cover),$285–$475,"Through-wall, GFCI-protected, code-compliant cover."
