Work,Range,What's in the number
100A panel replacement (same location),"$1,685–$2,685","New panel, breakers, grounding, permit, inspection."
150A panel replacement (same location),"$2,185–$3,185","Same scope, larger panel, more breaker space."
200A panel replacement (same location),"$2,485–$3,785",Default modern upgrade. Includes whole-home surge protector option.
"200A full service upgrade (meter, mast, panel)","$3,285–$5,485","Pole-to-panel: new service entrance cable, mast, weatherhead, meter base, panel, grounding rods, bonding."
200A upgrade with overhead-to-underground conversion,"$4,485–$7,985","Coordinated with Duke Energy. Trench, conduit, riser changes."
"400A residential service (large home, ADU, dual EV)","$5,485–$9,985",Rarely needed. We'll tell you honestly if 200A would do.
Panel relocation (move from old spot to new),"+$685–$2,485",Adder on top of replacement cost. Distance and wall access drive the number.
Federal Pacific / Zinsco replacement,"$2,185–$3,985","Same as panel replacement, but we never just ""rebalance"" these. They get replaced."
Single breaker swap (any standard breaker),$155–$255,"If we're not already on site, this becomes a service call rate."
AFCI/GFCI/combination breaker swap (each),$185–$285,Breakers themselves cost more; that's reflected.
